Initial T_old/T 	 Initial P_old/P 	 Initial Error 	 Error after 100 conv. rounds 	 Ratio of initial to final error
0.9	0.9	-7.10254e+09	-6.14951e+07	0.00865818
0.99	0.9	-6.77929e+09	-5.91918e+07	0.00873127
0.999	0.9	-6.77863e+09	5.92825e+07	-0.00874549
0.9999	0.9	-6.77878e+09	5.92467e+07	-0.00874001
0.99999	0.9	-6.7788e+09	-5.92161e+07	0.00873548
0.999999	0.9	-6.7788e+09	-5.91573e+07	0.00872682
1	0.9	-6.7788e+09	-5.92063e+07	0.00873403
1	0.9	-6.7788e+09	-5.92057e+07	0.00873395
1	0.9	-6.7788e+09	-5.92056e+07	0.00873394
0.9	0.99	-9.98164e+09	8.57006e+07	-0.00858582
0.99	0.99	-8.72534e+09	7.62223e+07	-0.00873574
0.999	0.99	-8.66828e+09	-7.58243e+07	0.00874733
0.9999	0.99	-8.66302e+09	-7.65186e+07	0.00883278
0.99999	0.99	-8.6625e+09	-7.64925e+07	0.00883031
0.999999	0.99	-8.66244e+09	-7.64126e+07	0.00882113
1	0.99	-8.66244e+09	-7.64045e+07	0.00882021
1	0.99	-8.66244e+09	-7.64739e+07	0.00882822
1	0.99	-8.66244e+09	-7.64038e+07	0.00882013
0.9	0.999	-1.03405e+10	8.88497e+07	-0.0085924
0.99	0.999	-8.95429e+09	7.82903e+07	-0.00874334
0.999	0.999	-8.88975e+09	7.84478e+07	-0.00882453
0.9999	0.999	-8.88377e+09	-7.84912e+07	0.00883535
0.99999	0.999	-8.88318e+09	-7.84064e+07	0.00882639
0.999999	0.999	-8.88312e+09	-7.83241e+07	0.00881719
1	0.999	-8.88311e+09	-7.83159e+07	0.00881627
1	0.999	-8.88311e+09	-7.83866e+07	0.00882423
1	0.999	-8.88311e+09	-7.8315e+07	0.00881617
0.9	0.9999	-1.03773e+10	8.90995e+07	-0.00858602
0.99	0.9999	-8.97759e+09	-7.84165e+07	0.00873469
0.999	0.9999	-8.91228e+09	7.86333e+07	-0.00882303
0.9999	0.9999	-8.90623e+09	-7.85374e+07	0.00881826
0.99999	0.9999	-8.90563e+09	-7.87109e+07	0.00883834
0.999999	0.9999	-8.90557e+09	-7.85564e+07	0.00882105
1	0.9999	-8.90556e+09	-7.86199e+07	0.00882819
1	0.9999	-8.90556e+09	-7.86193e+07	0.00882811
1	0.9999	-8.90556e+09	-7.86192e+07	0.00882811
0.9	0.99999	-1.0381e+10	8.92116e+07	-0.00859378
0.99	0.99999	-8.97992e+09	-7.83525e+07	0.0087253
0.999	0.99999	-8.91453e+09	-7.87402e+07	0.00883279
0.9999	0.99999	-8.90847e+09	-7.854e+07	0.00881632
0.99999	0.99999	-8.90787e+09	-7.86414e+07	0.0088283
0.999999	0.99999	-8.90781e+09	7.85499e+07	-0.00881809
1	0.99999	-8.90781e+09	7.85491e+07	-0.00881801
1	0.99999	-8.90781e+09	7.85491e+07	-0.008818
1	0.99999	-8.90781e+09	7.86221e+07	-0.0088262
0.9	0.999999	-1.03813e+10	8.91268e+07	-0.0085853
0.99	0.999999	-8.98015e+09	-7.84186e+07	0.00873243
0.999	0.999999	-8.91476e+09	-7.8733e+07	0.00883176
0.9999	0.999999	-8.9087e+09	-7.85331e+07	0.00881532
0.99999	0.999999	-8.9081e+09	-7.86345e+07	0.0088273
0.999999	0.999999	-8.90804e+09	7.8551e+07	-0.00881799
1	0.999999	-8.90803e+09	7.86236e+07	-0.00882614
1	0.999999	-8.90803e+09	7.86234e+07	-0.00882612
1	0.999999	-8.90803e+09	7.86235e+07	-0.00882614
0.9	1	-1.03814e+10	8.91269e+07	-0.00858528
0.99	1	-8.98018e+09	-7.83451e+07	0.00872423
0.999	1	-8.91478e+09	-7.87325e+07	0.00883168
0.9999	1	-8.90872e+09	-7.85323e+07	0.00881521
0.99999	1	-8.90812e+09	-7.86337e+07	0.00882719
0.999999	1	-8.90806e+09	7.85511e+07	-0.00881798
1	1	-8.90806e+09	7.86238e+07	-0.00882615
1	1	-8.90805e+09	7.85503e+07	-0.0088179
1	1	-8.90805e+09	7.86235e+07	-0.00882611
0.9	1	-1.03814e+10	8.91323e+07	-0.0085858
0.99	1	-8.98018e+09	-7.83452e+07	0.00872423
0.999	1	-8.91478e+09	-7.87323e+07	0.00883165
0.9999	1	-8.90872e+09	-7.85323e+07	0.00881522
0.99999	1	-8.90812e+09	-7.86336e+07	0.00882718
0.999999	1	-8.90806e+09	7.86245e+07	-0.00882621
1	1	-8.90806e+09	7.86236e+07	-0.00882612
1	1	-8.90806e+09	7.85504e+07	-0.0088179
1	1	-8.90806e+09	7.85505e+07	-0.00881792
0.9	1	-1.03814e+10	8.91269e+07	-0.00858528
0.99	1	-8.98018e+09	-7.8345e+07	0.00872422
0.999	1	-8.91478e+09	-7.87324e+07	0.00883167
0.9999	1	-8.90872e+09	-7.86042e+07	0.00882329
0.99999	1	-8.90812e+09	-7.86336e+07	0.00882718
0.999999	1	-8.90806e+09	7.85514e+07	-0.00881801
1	1	-8.90806e+09	7.86237e+07	-0.00882614
1	1	-8.90806e+09	7.86237e+07	-0.00882613
1	1	-8.90806e+09	7.86235e+07	-0.00882611
