MassCellNumber	 dP	 dr	 dL	 dT	 dPrescaled	 drrescaled	 dLrescaled	 dTrescaled	 P	 r	 L	 T
0  5.135e+10  -1.08124e+07  1.60686e+26  1478.01  5.135e+10  -1.08124e+07  1.60686e+26  1478.01  8.75585e+11  7.72108e+08  2.41561e+27  99063.3
1  5.13166e+10  -1.48311e+07  4.13606e+26  1477.64  5.13166e+10  -1.48311e+07  4.13606e+26  1477.64  8.74986e+11  1.05839e+09  6.21948e+27  99038.9
2  5.0607e+10  -4.69989e+07  1.1994e+28  1470  5.0607e+10  -4.69989e+07  1.1994e+28  1470  8.62256e+11  3.28024e+09  1.82633e+29  98518.1
3  5.03609e+10  -4.82628e+07  1.29471e+28  1467.31  5.03609e+10  -4.82628e+07  1.29471e+28  1467.31  8.57939e+11  3.36569e+09  1.97204e+29  98340.5
4  5.01587e+10  -5.73815e+07  2.24678e+28  1465  5.01587e+10  -5.73815e+07  2.24678e+28  1465  8.54395e+11  4.05289e+09  3.43056e+29  98194.3
5  4.98188e+10  -6.60259e+07  3.43842e+28  1461.08  4.98188e+10  -6.60259e+07  3.43842e+28  1461.08  8.4836e+11  4.68091e+09  5.26354e+29  97944.5
6  4.96276e+10  -6.73367e+07  3.64344e+28  1458.93  4.96276e+10  -6.73367e+07  3.64344e+28  1458.93  8.44952e+11  4.77389e+09  5.57985e+29  97803
7  4.94423e+10  -7.41401e+07  4.80913e+28  1456.89  4.94423e+10  -7.41401e+07  4.80913e+28  1456.89  8.41649e+11  5.2474e+09  7.38401e+29  97665.6
8  4.91473e+10  -8.04088e+07  6.03072e+28  1453.72  4.91473e+10  -8.04088e+07  6.03072e+28  1453.72  8.36401e+11  5.6705e+09  9.28581e+29  97446.5
9  4.89553e+10  -8.2538e+07  6.47685e+28  1451.7  4.89553e+10  -8.2538e+07  6.47685e+28  1451.7  8.32998e+11  5.81138e+09  9.98315e+29  97304
10  4.88521e+10  -8.43909e+07  6.94416e+28  1450.55  4.88521e+10  -8.43909e+07  6.94416e+28  1450.55  8.3117e+11  5.9525e+09  1.07149e+30  97227.4
11  4.86897e+10  -8.81857e+07  7.94697e+28  1448.64  4.86897e+10  -8.81857e+07  7.94697e+28  1448.64  8.28292e+11  6.23596e+09  1.22879e+30  97106.5
12  4.85277e+10  -9.01335e+07  8.48448e+28  1446.76  4.85277e+10  -9.01335e+07  8.48448e+28  1446.76  8.25412e+11  6.37861e+09  1.31329e+30  96985.2
13  4.84143e+10  -9.2118e+07  9.04727e+28  1445.47  4.84143e+10  -9.2118e+07  9.04727e+28  1445.47  8.23394e+11  6.52201e+09  1.40193e+30  96900.1
14  4.82355e+10  -9.62068e+07  1.02533e+29  1443.47  4.82355e+10  -9.62068e+07  1.02533e+29  1443.47  8.20212e+11  6.81157e+09  1.59246e+30  96765.7
15  4.8056e+10  -9.83177e+07  1.08988e+29  1441.51  4.8056e+10  -9.83177e+07  1.08988e+29  1441.51  8.17018e+11  6.95795e+09  1.6948e+30  96630.5
16  4.79301e+10  -1.00449e+08  1.15741e+29  1440.14  4.79301e+10  -1.00449e+08  1.15741e+29  1440.14  8.14779e+11  7.10552e+09  1.80214e+30  96535.4
17  4.77312e+10  -1.04868e+08  1.30195e+29  1438.01  4.77312e+10  -1.04868e+08  1.30195e+29  1438.01  8.11241e+11  7.40467e+09  2.03287e+30  96385
18  4.74572e+10  -1.08924e+08  1.46004e+29  1434.94  4.74572e+10  -1.08924e+08  1.46004e+29  1434.94  8.06377e+11  7.70967e+09  2.28668e+30  96177.6
19  4.72459e+10  -1.11036e+08  1.54468e+29  1432.49  4.72459e+10  -1.11036e+08  1.54468e+29  1432.49  8.02619e+11  7.86463e+09  2.423e+30  96016.8
20  4.70977e+10  -1.1318e+08  1.63323e+29  1430.8  4.70977e+10  -1.1318e+08  1.63323e+29  1430.8  7.99979e+11  8.02132e+09  2.56597e+30  95903.7
21  4.69455e+10  -1.15384e+08  1.72573e+29  1429.07  4.69455e+10  -1.15384e+08  1.72573e+29  1429.07  7.97267e+11  8.17961e+09  2.71573e+30  95787.1
22  4.67888e+10  -1.17662e+08  1.82268e+29  1427.33  4.67888e+10  -1.17662e+08  1.82268e+29  1427.33  7.94476e+11  8.34018e+09  2.87316e+30  95667
23  4.66277e+10  -1.20009e+08  1.92383e+29  1425.57  4.66277e+10  -1.20009e+08  1.92383e+29  1425.57  7.91605e+11  8.50248e+09  3.03802e+30  95543.1
24  4.6462e+10  -1.22432e+08  2.02938e+29  1423.8  4.6462e+10  -1.22432e+08  2.02938e+29  1423.8  7.88654e+11  8.66668e+09  3.21074e+30  95415.5
25  4.62913e+10  -1.24943e+08  2.13977e+29  1422.02  4.62913e+10  -1.24943e+08  2.13977e+29  1422.02  7.85617e+11  8.83333e+09  3.39222e+30  95283.9
26  4.61155e+10  -1.27173e+08  2.25486e+29  1420.07  4.61155e+10  -1.27173e+08  2.25486e+29  1420.07  7.82492e+11  9.00191e+09  3.58218e+30  95148.2
27  4.59349e+10  -1.29481e+08  2.37527e+29  1417.96  4.59349e+10  -1.29481e+08  2.37527e+29  1417.96  7.79279e+11  9.1729e+09  3.78154e+30  95008.3
28  4.57491e+10  -1.31874e+08  2.50114e+29  1415.83  4.57491e+10  -1.31874e+08  2.50114e+29  1415.83  7.75969e+11  9.34637e+09  3.99069e+30  94863.9
29  4.5558e+10  -1.34355e+08  2.63247e+29  1413.7  4.5558e+10  -1.34355e+08  2.63247e+29  1413.7  7.72564e+11  9.52217e+09  4.20984e+30  94714.9
30  4.53613e+10  -1.36901e+08  2.76952e+29  1411.53  4.53613e+10  -1.36901e+08  2.76952e+29  1411.53  7.69061e+11  9.70052e+09  4.43964e+30  94561.2
31  4.5159e+10  -1.3955e+08  2.91237e+29  1409.35  4.5159e+10  -1.3955e+08  2.91237e+29  1409.35  7.65457e+11  9.88142e+09  4.68048e+30  94402.6
32  4.49507e+10  -1.4231e+08  3.0611e+29  1407.17  4.49507e+10  -1.4231e+08  3.0611e+29  1407.17  7.61749e+11  1.00649e+10  4.93279e+30  94239
33  4.4736e+10  -1.44814e+08  3.21639e+29  1404.82  4.4736e+10  -1.44814e+08  3.21639e+29  1404.82  7.57932e+11  1.02514e+10  5.19765e+30  94070.1
34  4.45152e+10  -1.47385e+08  3.37825e+29  1402.27  4.45152e+10  -1.47385e+08  3.37825e+29  1402.27  7.54003e+11  1.04405e+10  5.47501e+30  93895.7
35  4.42882e+10  -1.50068e+08  3.54698e+29  1399.71  4.42882e+10  -1.50068e+08  3.54698e+29  1399.71  7.49961e+11  1.06326e+10  5.7657e+30  93715.7
36  4.40546e+10  -1.52879e+08  3.72277e+29  1397.16  4.40546e+10  -1.52879e+08  3.72277e+29  1397.16  7.45801e+11  1.08279e+10  6.07058e+30  93529.9
37  4.38141e+10  -1.55828e+08  3.90557e+29  1394.61  4.38141e+10  -1.55828e+08  3.90557e+29  1394.61  7.41519e+11  1.10261e+10  6.39001e+30  93337.9
38  4.35665e+10  -1.58486e+08  4.09562e+29  1391.87  4.35665e+10  -1.58486e+08  4.09562e+29  1391.87  7.37114e+11  1.12275e+10  6.72462e+30  93139.8
39  4.3312e+10  -1.61271e+08  4.2937e+29  1388.93  4.3312e+10  -1.61271e+08  4.2937e+29  1388.93  7.32582e+11  1.14323e+10  7.07543e+30  92935.2
40  4.31172e+10  -1.62733e+08  4.39698e+29  1386.75  4.31172e+10  -1.62733e+08  4.39698e+29  1386.75  7.29111e+11  1.15372e+10  7.25933e+30  92778
41  4.29845e+10  -1.64178e+08  4.49975e+29  1385.28  4.29845e+10  -1.64178e+08  4.49975e+29  1385.28  7.26746e+11  1.16405e+10  7.44303e+30  92670.6
42  4.28499e+10  -1.65696e+08  4.60702e+29  1383.81  4.28499e+10  -1.65696e+08  4.60702e+29  1383.81  7.24346e+11  1.17471e+10  7.63563e+30  92561.4
43  4.27134e+10  -1.67218e+08  4.71369e+29  1382.34  4.27134e+10  -1.67218e+08  4.71369e+29  1382.34  7.21914e+11  1.1852e+10  7.82801e+30  92450.5
44  4.25748e+10  -1.68822e+08  4.82506e+29  1380.89  4.25748e+10  -1.68822e+08  4.82506e+29  1380.89  7.19444e+11  1.19605e+10  8.02991e+30  92337.7
45  4.24342e+10  -1.70433e+08  4.93571e+29  1379.45  4.24342e+10  -1.70433e+08  4.93571e+29  1379.45  7.1694e+11  1.20672e+10  8.2316e+30  92223.1
46  4.22914e+10  -1.71933e+08  5.05137e+29  1377.88  4.22914e+10  -1.71933e+08  5.05137e+29  1377.88  7.14399e+11  1.21775e+10  8.4431e+30  92106.5
47  4.21467e+10  -1.73416e+08  5.16683e+29  1376.15  4.21467e+10  -1.73416e+08  5.16683e+29  1376.15  7.11824e+11  1.22861e+10  8.65438e+30  91988.1
48  4.2e+10  -1.74979e+08  5.28786e+29  1374.4  4.2e+10  -1.74979e+08  5.28786e+29  1374.4  7.0921e+11  1.23982e+10  8.87591e+30  91867.7
49  4.18513e+10  -1.76548e+08  5.40848e+29  1372.67  4.18513e+10  -1.76548e+08  5.40848e+29  1372.67  7.06561e+11  1.25086e+10  9.09719e+30  91745.4
50  4.17004e+10  -1.78202e+08  5.53437e+29  1370.94  4.17004e+10  -1.78202e+08  5.53437e+29  1370.94  7.03873e+11  1.26228e+10  9.32929e+30  91621
51  4.15473e+10  -1.79864e+08  5.6594e+29  1369.23  4.15473e+10  -1.79864e+08  5.6594e+29  1369.23  7.01148e+11  1.27352e+10  9.56109e+30  91494.5
52  4.1392e+10  -1.81598e+08  5.7897e+29  1367.52  4.1392e+10  -1.81598e+08  5.7897e+29  1367.52  6.98383e+11  1.28513e+10  9.8041e+30  91366
53  4.12344e+10  -1.83344e+08  5.91898e+29  1365.82  4.12344e+10  -1.83344e+08  5.91898e+29  1365.82  6.9558e+11  1.29656e+10  1.00468e+31  91235.3
54  4.10744e+10  -1.84963e+08  6.05397e+29  1363.98  4.10744e+10  -1.84963e+08  6.05397e+29  1363.98  6.92736e+11  1.30838e+10  1.03013e+31  91102.5
55  4.09123e+10  -1.8659e+08  6.18829e+29  1361.99  4.09123e+10  -1.8659e+08  6.18829e+29  1361.99  6.89853e+11  1.32002e+10  1.05554e+31  90967.4
56  4.07478e+10  -1.88309e+08  6.32852e+29  1360.01  4.07478e+10  -1.88309e+08  6.32852e+29  1360.01  6.86928e+11  1.33206e+10  1.08218e+31  90830.1
57  4.05811e+10  -1.90019e+08  6.46792e+29  1358.04  4.05811e+10  -1.90019e+08  6.46792e+29  1358.04  6.83964e+11  1.34391e+10  1.10879e+31  90690.6
58  4.04119e+10  -1.91831e+08  6.61337e+29  1356.06  4.04119e+10  -1.91831e+08  6.61337e+29  1356.06  6.80956e+11  1.35617e+10  1.13669e+31  90548.6
59  4.02403e+10  -1.93661e+08  6.75778e+29  1354.1  4.02403e+10  -1.93661e+08  6.75778e+29  1354.1  6.77906e+11  1.36824e+10  1.16455e+31  90404.3
60  4.00662e+10  -1.95605e+08  6.90812e+29  1352.17  4.00662e+10  -1.95605e+08  6.90812e+29  1352.17  6.74813e+11  1.38071e+10  1.19375e+31  90257.5
61  3.98895e+10  -1.97287e+08  7.0575e+29  1350.09  3.98895e+10  -1.97287e+08  7.0575e+29  1350.09  6.71679e+11  1.393e+10  1.2229e+31  90108.4
62  3.97104e+10  -1.99067e+08  7.21341e+29  1347.86  3.97104e+10  -1.99067e+08  7.21341e+29  1347.86  6.685e+11  1.40571e+10  1.25346e+31  89956.7
63  3.95289e+10  -2.00865e+08  7.36829e+29  1345.65  3.95289e+10  -2.00865e+08  7.36829e+29  1345.65  6.65278e+11  1.41823e+10  1.28396e+31  89802.5
64  3.93448e+10  -2.02775e+08  7.52972e+29  1343.47  3.93448e+10  -2.02775e+08  7.52972e+29  1343.47  6.62011e+11  1.43118e+10  1.31594e+31  89645.7
65  3.91582e+10  -2.04662e+08  7.68986e+29  1341.28  3.91582e+10  -2.04662e+08  7.68986e+29  1341.28  6.58699e+11  1.44393e+10  1.34786e+31  89486.3
66  3.89688e+10  -2.06669e+08  7.85666e+29  1339.09  3.89688e+10  -2.06669e+08  7.85666e+29  1339.09  6.55341e+11  1.45712e+10  1.38133e+31  89324.2
67  3.87768e+10  -2.08427e+08  8.0226e+29  1336.76  3.87768e+10  -2.08427e+08  8.0226e+29  1336.76  6.51937e+11  1.47012e+10  1.41473e+31  89159.4
