Initial T_old/T 	 Initial P_old/P 	 Initial Error 	 Error after 1000 conv. rounds 	 Ratio of initial to final error
0.900000000 	 0.900000000 	 -7.102539595E+09 	 5.143519554E+07 	 -7.241803421E-03
0.990000000 	 0.900000000 	 -6.779286758E+09 	 4.761139771E+07 	 -7.023068858E-03
0.999000000 	 0.900000000 	 -6.778632443E+09 	 4.758091780E+07 	 -7.019250299E-03
0.999900000 	 0.900000000 	 -6.778782621E+09 	 4.756442753E+07 	 -7.016662163E-03
0.999990000 	 0.900000000 	 -6.778799725E+09 	 -4.748829542E+07 	 7.005413547E-03
0.999999000 	 0.900000000 	 -6.778801457E+09 	 -4.758219580E+07 	 7.019263818E-03
0.999999900 	 0.900000000 	 -6.778801630E+09 	 -4.749521261E+07 	 7.006431993E-03
0.999999990 	 0.900000000 	 -6.778801648E+09 	 -4.748434048E+07 	 7.004828132E-03
0.999999999 	 0.900000000 	 -6.778801649E+09 	 -4.760556694E+07 	 7.022711300E-03
0.900000000 	 0.990000000 	 -9.981643685E+09 	 -7.169932015E+07 	 7.183117572E-03
0.990000000 	 0.990000000 	 -8.725339673E+09 	 -6.113974090E+07 	 7.007147365E-03
0.999000000 	 0.990000000 	 -8.668280293E+09 	 6.058676608E+07 	 -6.989479346E-03
0.999900000 	 0.990000000 	 -8.663018877E+09 	 -6.105234985E+07 	 7.047468176E-03
0.999990000 	 0.990000000 	 -8.662497029E+09 	 6.104929657E+07 	 -7.047540261E-03
0.999999000 	 0.990000000 	 -8.662444887E+09 	 -6.106405954E+07 	 7.049286933E-03
0.999999900 	 0.990000000 	 -8.662439673E+09 	 6.104239602E+07 	 -7.046790318E-03
0.999999990 	 0.990000000 	 -8.662439151E+09 	 6.112616536E+07 	 -7.056461153E-03
0.999999999 	 0.990000000 	 -8.662439099E+09 	 -6.122797320E+07 	 7.068213987E-03
0.900000000 	 0.999000000 	 -1.034049678E+10 	 7.425633993E+07 	 -7.181119198E-03
0.990000000 	 0.999000000 	 -8.954286125E+09 	 -6.265620043E+07 	 6.997341782E-03
0.999000000 	 0.999000000 	 -8.889746777E+09 	 -6.260415393E+07 	 7.042287649E-03
0.999900000 	 0.999000000 	 -8.883770320E+09 	 6.264943881E+07 	 -7.052122753E-03
0.999990000 	 0.999000000 	 -8.883177281E+09 	 6.252508410E+07 	 -7.038594652E-03
0.999999000 	 0.999000000 	 -8.883118023E+09 	 -6.273524892E+07 	 7.062300508E-03
0.999999900 	 0.999000000 	 -8.883112097E+09 	 -6.272139153E+07 	 7.060745248E-03
0.999999990 	 0.999000000 	 -8.883111505E+09 	 6.260737574E+07 	 -7.047910600E-03
0.999999999 	 0.999000000 	 -8.883111445E+09 	 -6.258157803E+07 	 7.045006517E-03
0.900000000 	 0.999900000 	 -1.037727056E+10 	 7.437133264E+07 	 -7.166752778E-03
0.990000000 	 0.999900000 	 -8.977585852E+09 	 6.289166668E+07 	 -7.005409664E-03
0.999000000 	 0.999900000 	 -8.912275588E+09 	 6.275664830E+07 	 -7.041596468E-03
0.999900000 	 0.999900000 	 -8.906225618E+09 	 6.264882742E+07 	 -7.034273564E-03
0.999990000 	 0.999900000 	 -8.905625200E+09 	 -6.279028824E+07 	 7.050632250E-03
0.999999000 	 0.999900000 	 -8.905565166E+09 	 6.280383689E+07 	 -7.052201148E-03
0.999999900 	 0.999900000 	 -8.905559167E+09 	 -6.284053132E+07 	 7.056326294E-03
0.999999990 	 0.999900000 	 -8.905558567E+09 	 -6.273376479E+07 	 7.044338018E-03
0.999999999 	 0.999900000 	 -8.905558508E+09 	 -6.284520796E+07 	 7.056851954E-03
0.900000000 	 0.999990000 	 -1.038095706E+10 	 -7.447987903E+07 	 7.174664015E-03
0.990000000 	 0.999990000 	 -8.979919947E+09 	 6.290703745E+07 	 -7.005300472E-03
0.999000000 	 0.999990000 	 -8.914532355E+09 	 -6.279284397E+07 	 7.043874145E-03
0.999900000 	 0.999990000 	 -8.908474994E+09 	 -6.272841231E+07 	 7.041431036E-03
0.999990000 	 0.999990000 	 -8.907873839E+09 	 -6.292017453E+07 	 7.063433504E-03
0.999999000 	 0.999990000 	 -8.907813775E+09 	 -6.282897432E+07 	 7.053242907E-03
0.999999900 	 0.999990000 	 -8.907807769E+09 	 6.282535183E+07 	 -7.052840998E-03
0.999999990 	 0.999990000 	 -8.907807168E+09 	 -6.278210534E+07 	 7.047986576E-03
0.999999999 	 0.999990000 	 -8.907807108E+09 	 -6.271128121E+07 	 7.040035830E-03
0.900000000 	 0.999999000 	 -1.038132579E+10 	 7.444702936E+07 	 -7.171244872E-03
