MassCellNumber	 dP	 dr	 dL	 dT	 dPrescaled	 drrescaled	 dLrescaled	 dTrescaled	 P	 r	 L	 T
0  1.48183e+13  -3.64009e+09  3.81325e+31  731523  3.2682e+11  -3.138e+08  4.46484e+29  72120  5.447e+12  5.23e+09  8.92969e+29  1.202e+06
1  1.4808e+13  -5.02309e+09  9.84819e+31  732079  3.2664e+11  -4.302e+08  1.14952e+30  72120  5.444e+12  7.17e+09  2.29903e+30  1.202e+06
2  1.47992e+13  -5.8014e+09  1.52588e+32  731333  3.264e+11  -4.98e+08  1.78209e+30  72060  5.44e+12  8.3e+09  3.56418e+30  1.201e+06
3  1.47924e+13  -6.35163e+09  2.0134e+32  730723  3.2628e+11  -5.46e+08  2.35139e+30  72060  5.438e+12  9.1e+09  4.70277e+30  1.201e+06
4  1.47869e+13  -6.78221e+09  2.4525e+32  730259  3.2616e+11  -5.832e+08  2.86344e+30  72060  5.436e+12  9.72e+09  5.72688e+30  1.201e+06
5  1.47819e+13  -7.14491e+09  2.84679e+32  729799  3.261e+11  -6.12e+08  3.32448e+30  72060  5.435e+12  1.02e+10  6.64895e+30  1.201e+06
6  1.47776e+13  -7.44484e+09  3.24152e+32  730872  3.2598e+11  -6.42e+08  3.78532e+30  72060  5.433e+12  1.07e+10  7.57064e+30  1.201e+06
7  1.47738e+13  -7.73331e+09  3.63621e+32  730588  3.2586e+11  -6.66e+08  4.24617e+30  72060  5.431e+12  1.11e+10  8.49233e+30  1.201e+06
8  1.47698e+13  -8.00438e+09  4.05069e+32  730211  3.258e+11  -6.9e+08  4.73011e+30  72000  5.43e+12  1.15e+10  9.46022e+30  1.2e+06
9  1.47656e+13  -8.30415e+09  4.48566e+32  729829  3.2574e+11  -7.14e+08  5.2379e+30  72000  5.429e+12  1.19e+10  1.04758e+31  1.2e+06
10  1.47613e+13  -8.56118e+09  4.94334e+32  729439  3.2562e+11  -7.38e+08  5.77135e+30  72000  5.427e+12  1.23e+10  1.15427e+31  1.2e+06
11  1.47575e+13  -8.833e+09  5.42226e+32  729141  3.2556e+11  -7.62e+08  6.3313e+30  72000  5.426e+12  1.27e+10  1.26626e+31  1.2e+06
12  1.4753e+13  -9.10256e+09  5.92679e+32  728733  3.2544e+11  -7.86e+08  6.91905e+30  72000  5.424e+12  1.31e+10  1.38381e+31  1.2e+06
13  1.47485e+13  -9.36879e+09  6.45493e+32  729791  3.2538e+11  -8.04e+08  7.5362e+30  72000  5.423e+12  1.34e+10  1.50724e+31  1.2e+06
