MassCellNumber	 dP	 dr	 dL	 dT	 dPrescaled	 drrescaled	 dLrescaled	 dTrescaled	 P	 r	 L	 T
0  3.23032e+11  -9.23456e+07  3.87729e+28  -15910.3  3.23032e+11  -9.23456e+07  3.87729e+28  -15910.3  5.447e+12  5.23e+09  8.92969e+29  1.202e+06
1  3.23469e+11  -1.25779e+08  5.65527e+28  -15585  3.23469e+11  -1.25779e+08  5.65527e+28  -15585  5.444e+12  7.17e+09  2.29903e+30  1.202e+06
2  3.22382e+11  -1.44729e+08  1.53685e+29  -16309.2  3.22382e+11  -1.44729e+08  1.53685e+29  -16309.2  5.44e+12  8.3e+09  3.56418e+30  1.201e+06
3  3.22648e+11  -1.63061e+08  2.1719e+29  -16094.7  3.22648e+11  -1.63061e+08  2.1719e+29  -16094.7  5.438e+12  9.1e+09  4.70277e+30  1.201e+06
4  3.22507e+11  -1.72673e+08  2.61226e+29  -15918.7  3.22507e+11  -1.72673e+08  2.61226e+29  -15918.7  5.436e+12  9.72e+09  5.72688e+30  1.201e+06
5  3.23072e+11  -1.98481e+08  2.86347e+29  -15770.3  3.23072e+11  -1.98481e+08  2.86347e+29  -15770.3  5.435e+12  1.02e+10  6.64895e+30  1.201e+06
6  3.22483e+11  -1.57359e+08  3.0452e+29  -15636.7  3.22483e+11  -1.57359e+08  3.0452e+29  -15636.7  5.433e+12  1.07e+10  7.57064e+30  1.201e+06
7  3.21836e+11  -1.82411e+08  3.16877e+29  -15508.6  3.21836e+11  -1.82411e+08  3.16877e+29  -15508.6  5.431e+12  1.11e+10  8.49233e+30  1.201e+06
8  3.22169e+11  -1.96357e+08  3.96021e+29  -16382.2  3.22169e+11  -1.96357e+08  3.96021e+29  -16382.2  5.43e+12  1.15e+10  9.46022e+30  1.2e+06
9  3.22517e+11  -2.01257e+08  4.65187e+29  -16254.3  3.22517e+11  -2.01257e+08  4.65187e+29  -16254.3  5.429e+12  1.19e+10  1.04758e+31  1.2e+06
10  3.21887e+11  -1.99189e+08  5.29084e+29  -16124.5  3.21887e+11  -1.99189e+08  5.29084e+29  -16124.5  5.427e+12  1.23e+10  1.15427e+31  1.2e+06
11  3.22282e+11  -1.90933e+08  5.81166e+29  -15992.5  3.22282e+11  -1.90933e+08  5.81166e+29  -15992.5  5.426e+12  1.27e+10  1.26626e+31  1.2e+06
12  3.21701e+11  -1.78346e+08  6.2971e+29  -15858.1  3.21701e+11  -1.78346e+08  6.2971e+29  -15858.1  5.424e+12  1.31e+10  1.38381e+31  1.2e+06
